"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4011","has title","Google Chrome","Sun Dec 07 23:06:08 WITA 2025","passed","Sun Dec 07 23:06:12 WITA 2025","","example.spec.ts","",""
"","4433","get started link","chromium","Sun Dec 07 23:06:08 WITA 2025","passed","Sun Dec 07 23:06:13 WITA 2025","","example.spec.ts","",""
"","4041","has title","chromium","Sun Dec 07 23:06:08 WITA 2025","passed","Sun Dec 07 23:06:12 WITA 2025","","example.spec.ts","",""
"","4370","get started link","Google Chrome","Sun Dec 07 23:06:08 WITA 2025","passed","Sun Dec 07 23:06:13 WITA 2025","","example.spec.ts","",""
